incident_id,timestamp,status,threat_id,threat_name,threat_type,severity,asset_id,asset_name,asset_type,asset_owner_department,asset_vulnerability_score,employee_id,emp_name,emp_department,emp_security_training,time_to_resolve_hours,data_breached_gb,financial_impact_k,description
3250,2020-08-09 08:54:09.560393,Resolved,2,Malware,Malicious Code,6,22,Electricalengineer Cloud Storage 22,Database,"Engineer,materials",4,8,Alyssa Carpenter,"Administrator,CivilService",Pending,222,10.1,348.96,Threat: Malware; Type: Malicious Code; Asset: Electricalengineer Cloud Storage 22 (Database); User: Alyssa Carpenter; Severity: 6
2451,2020-08-09 19:51:30.560393,Closed,1,Phishing,Social Engineering,3,5,Planninganddevelopmentsurveyor Database 5,Database,Purchasingmanager,1,6,Jeremy Allen,Databaseadministrator,Pending,39,2.12,49.1,Threat: Phishing; Type: Social Engineering; Asset: Planninganddevelopmentsurveyor Database 5 (Database); User: Jeremy Allen; Severity: 3
87,2020-08-10 05:29:19.560393,Resolved,2,Malware,Malicious Code,6,15,Childpsychotherapist Server 15,Workstation,Childpsychotherapist,1,10,Eric Perez,Childpsychotherapist,Completed,47,0.0,37.07,Threat: Malware; Type: Malicious Code; Asset: Childpsychotherapist Server 15 (Workstation); User: Eric Perez; Severity: 6
3236,2020-08-10 08:03:26.560393,Resolved,2,Malware,Malicious Code,6,13,Databaseadministrator Cloud Storage 13,Database,Themeparkmanager,3,6,Jeremy Allen,Databaseadministrator,Pending,68,0.0,40.6,Threat: Malware; Type: Malicious Code; Asset: Databaseadministrator Cloud Storage 13 (Database); User: Jeremy Allen; Severity: 6
3300,2020-08-10 12:51:08.560393,Investigating,1,Phishing,Social Engineering,3,48,Planninganddevelopmentsurveyor Cloud Storage 48,Server,Gamesdeveloper,1,5,Megan Garcia,"Physicist,medical",Completed,67,4.35,95.58,Threat: Phishing; Type: Social Engineering; Asset: Planninganddevelopmentsurveyor Cloud Storage 48 (Server); User: Megan Garcia; Severity: 3
2536,2020-08-10 15:46:38.560393,Resolved,4,DoS Attack,Denial of Service,8,29,Fieldseismologist Cloud Storage 29,Database,"Engineer,materials",3,2,Angela Sanchez,Gamesdeveloper,Completed,109,0.0,81.5,Threat: DoS Attack; Type: Denial of Service; Asset: Fieldseismologist Cloud Storage 29 (Database); User: Angela Sanchez; Severity: 8
2232,2020-08-10 16:26:44.560393,Closed,2,Malware,Malicious Code,6,3,Purchasingmanager Server 3,Server,Miningengineer,5,1,John Nelson,Consultingcivilengineer,Pending,21,0.0,20.88,Threat: Malware; Type: Malicious Code; Asset: Purchasingmanager Server 3 (Server); User: John Nelson; Severity: 6
622,2020-08-11 05:15:01.560393,Resolved,3,Ransomware,Malicious Code,10,30,Electricalengineer Cloud Storage 30,Workstation,Purchasingmanager,2,11,Shaun Ortega,Clinicalresearchassociate,Completed,33,15.47,228.17,Threat: Ransomware; Type: Malicious Code; Asset: Electricalengineer Cloud Storage 30 (Workstation); User: Shaun Ortega; Severity: 10
2417,2020-08-11 07:44:14.560393,Resolved,5,Insider Threat,Insider,9,22,Electricalengineer Cloud Storage 22,Database,"Engineer,materials",4,11,Shaun Ortega,Clinicalresearchassociate,Completed,155,0.0,28.36,Threat: Insider Threat; Type: Insider; Asset: Electricalengineer Cloud Storage 22 (Database); User: Shaun Ortega; Severity: 9
3689,2020-08-11 13:06:35.560393,Resolved,1,Phishing,Social Engineering,3,49,Electricalengineer Cloud Storage 49,Cloud Storage,Electricalengineer,3,15,Amy Lawrence,Miningengineer,Completed,35,10.48,151.71,Threat: Phishing; Type: Social Engineering; Asset: Electricalengineer Cloud Storage 49 (Cloud Storage); User: Amy Lawrence; Severity: 3
4034,2020-08-12 02:13:31.560393,Resolved,1,Phishing,Social Engineering,3,27,"Physicist,medical Cloud Storage 27",Cloud Storage,Themeparkmanager,3,8,Alyssa Carpenter,"Administrator,CivilService",Pending,10,0.0,16.77,"Threat: Phishing; Type: Social Engineering; Asset: Physicist,medical Cloud Storage 27 (Cloud Storage); User: Alyssa Carpenter; Severity: 3"
